Time,RPM,MPH,Throttle,Load,Gear
8:3:38.471220,1211,0.0,13.7254901961,39.6078431373,0
8:3:38.603273,1213,0.0,13.7254901961,39.6078431373,0
8:3:38.719021,1231,0.0,13.7254901961,39.2156862745,0
8:3:38.839359,1224,0.0,13.3333333333,38.8235294118,0
8:3:38.958899,1216,0.0,13.7254901961,38.431372549,0
8:3:39.78709,1218,0.0,13.7254901961,38.431372549,0
8:3:39.200920,1224,0.0,13.3333333333,38.0392156863,0
8:3:39.318686,1235,0.0,13.7254901961,37.6470588235,0
8:3:39.439756,1235,0.0,13.7254901961,37.2549019608,0
8:3:39.559081,1232,0.0,13.7254901961,36.862745098,0
8:3:39.679047,1239,0.0,13.7254901961,36.4705882353,0
8:3:39.801503,1248,0.0,13.7254901961,36.4705882353,0
8:3:39.919332,1240,0.0,13.3333333333,36.0784313725,0
8:3:40.39688,1225,0.0,13.3333333333,36.0784313725,0
8:3:40.159241,1235,0.0,13.3333333333,35.6862745098,0
8:3:40.279299,1236,0.0,13.3333333333,35.6862745098,0
8:3:40.401226,1245,0.0,13.3333333333,35.2941176471,0
8:3:40.519347,1250,0.0,13.3333333333,34.9019607843,0
8:3:40.640184,1260,0.0,13.3333333333,34.5098039216,0
8:3:40.759346,1249,0.0,13.3333333333,34.5098039216,0
8:3:40.879385,1254,0.0,13.3333333333,34.5098039216,0
8:3:41.1558,1249,0.0,13.3333333333,34.1176470588,0
8:3:41.119323,1248,0.0,13.3333333333,34.1176470588,0
8:3:41.239860,1255,0.0,12.9411764706,33.3333333333,0
8:3:41.359303,1286,0.0,12.9411764706,31.3725490196,0
8:3:41.479166,1309,0.0,12.9411764706,30.5882352941,0
8:3:41.602345,1325,0.0,12.9411764706,29.8039215686,0
8:3:41.719122,1339,0.0,12.9411764706,29.0196078431,0
8:3:41.839681,1306,0.0,12.9411764706,29.0196078431,0
8:3:41.959094,1299,0.0,12.9411764706,29.0196078431,0
8:3:42.79170,1305,0.0,12.9411764706,29.0196078431,0
8:3:42.201403,1287,0.0,12.9411764706,29.0196078431,0
8:3:42.319537,1271,0.0,12.9411764706,29.0196078431,0
8:3:42.439846,1268,0.0,12.9411764706,29.4117647059,0
8:3:42.559529,1254,0.0,12.9411764706,29.4117647059,0
8:3:42.679271,1272,0.0,12.9411764706,29.4117647059,0
8:3:42.801457,1226,0.0,12.9411764706,29.8039215686,0
8:3:42.919166,1219,0.0,12.9411764706,29.8039215686,0
8:3:43.39393,1219,0.0,12.9411764706,30.1960784314,0
8:3:43.159099,1223,0.0,12.9411764706,30.1960784314,0
8:3:43.279251,1214,0.0,12.9411764706,30.5882352941,0
8:3:43.401452,1217,0.0,12.9411764706,30.5882352941,0
8:3:43.519194,1207,0.0,12.9411764706,30.9803921569,0
8:3:43.640037,1215,0.0,12.9411764706,30.5882352941,0
8:3:43.759596,1240,0.0,12.9411764706,30.5882352941,0
8:3:43.879188,1238,0.0,12.9411764706,30.5882352941,0
8:3:44.900,1237,0.0,12.9411764706,30.5882352941,0
8:3:44.118685,1221,0.0,12.9411764706,30.9803921569,0
8:3:44.239793,1222,0.0,12.9411764706,30.9803921569,0
8:3:44.358976,1251,0.0,12.9411764706,30.5882352941,0
8:3:44.478787,1265,0.0,12.9411764706,30.5882352941,0
8:3:44.602026,1264,0.0,12.9411764706,30.5882352941,0
8:3:44.718950,1277,0.0,12.9411764706,30.1960784314,0
8:3:44.839610,1277,0.0,12.9411764706,29.8039215686,0
